Newspaper Title,Issue Date,Page Number,City,State,PDF Link,prim_long_dec,prim_lat_dec
The Monmouth Inquirer,09-13-1923,2,Freehold,New Jersey,https://tile.loc.gov/storage-services/service/ndnp/njr/batch_njr_galloway_ver01/data/sn83032307/00513685488/1923091301/0283.pdf,-74.528296,40.1551759
The New Age,12-22-1906,8,Portland,Oregon,https://tile.loc.gov/storage-services/service/ndnp/dlc/batch_dlc_longview_ver01/data/sn83025107/00220720378/1906122201/0008.pdf,-122.5934954,45.5091559
The New York Herald,06-12-1921,22,New York,New York,https://tile.loc.gov/storage-services/service/ndnp/dlc/batch_dlc_crowfoot_ver01/data/sn83045774/00271744171/1921061201/0343.pdf,-73.9700088,40.7740183
The Canton Times,12-28-1894,8,Canton,Mississippi,https://tile.loc.gov/storage-services/service/ndnp/msar/batch_msar_eiffel_ver02/data/sn86074075/00295877522/1894122801/0176.pdf,-90.0315722,32.5975282
Santa Fe New Mexican,04-24-1909,7,Santa Fe,New Mexico,https://tile.loc.gov/storage-services/service/ndnp/nmu/batch_nmu_huxley_ver01/data/sn84020630/00415620408/1909042401/0794.pdf,-105.9461325,35.6875307
The Watchman And Southron,07-02-1910,7,Sumter,South Carolina,https://tile.loc.gov/storage-services/service/ndnp/scu/batch_scu_felicitylane_ver01/data/sn93067846/00294551037/1910070201/0270.pdf,-80.382316,33.9161722
Iron County Record,08-20-1920,2,Cedar City,Utah,https://tile.loc.gov/storage-services/service/ndnp/uuml/batch_uuml_contador_ver01/data/sn85058259/0023728561A/1920082001/0226.pdf,-113.0618931,37.6774769
The Seattle Star,08-28-1919,7,Seattle,Washington,https://tile.loc.gov/storage-services/service/ndnp/wa/batch_wa_alki_ver01/data/sn87093407/0020029080A/1919082801/0421.pdf,-122.6354506,48.5162154
The Laramie Republican,09-25-1922,7,Laramie,Wyoming,https://tile.loc.gov/storage-services/service/ndnp/wyu/batch_wyu_ellison_ver01/data/sn92066979/00517010108/1922092501/0783.pdf,-104.6896206,41.3070677
Weekly Graphic,11-30-1894,2,Kirksville,Missouri,https://tile.loc.gov/storage-services/service/ndnp/mohi/batch_mohi_carver_ver01/data/sn89066097/00211109762/1894113001/0401.pdf,-92.5752534,40.1985692
Pine Bluff Daily Graphic,04-30-1909,6,Pine Bluff,Arkansas,https://tile.loc.gov/storage-services/service/ndnp/arhi/batch_arhi_huskerdu_ver01/data/sn89051168/00393343278/1909043001/1011.pdf,-92.0172539,34.2115657
The Fallon Standard,04-27-1921,8,Fallon,Nevada,https://tile.loc.gov/storage-services/service/ndnp/nvln/batch_nvln_jackpot_ver01/data/sn86076304/0033289111A/1921042701/0814.pdf,-118.6174027,39.5210409
Crittenden Press,04-24-1902,7,Marion,Kentucky,https://tile.loc.gov/storage-services/service/ndnp/kyu/batch_kyu_casablanca_ver01/data/sn86069457/00206533274/1902042401/0622.pdf,-85.2696315,37.5525344
Semi-Weekly Interior Journal,10-21-1898,3,Stanford,Kentucky,https://tile.loc.gov/storage-services/service/ndnp/kyu/batch_kyu_hairspray_ver01/data/sn85052020/00206534175/1898102101/1369.pdf,-84.6703381,37.5397752
Hopkinsville Kentuckian,03-06-1917,2,Hopkinsville,Kentucky,https://tile.loc.gov/storage-services/service/ndnp/kyu/batch_kyu_kryptonite_ver01/data/sn86069395/00280763470/1917030601/0220.pdf,-87.4865581,36.8924392
The Coconino Weekly Sun,06-18-1896,1,Flagstaff,Arizona,https://tile.loc.gov/storage-services/service/ndnp/az/batch_az_falcon_ver01/data/sn87062054/00211106670/1896061801/0358.pdf,-111.6632771,35.2386639
The Border Vidette,01-31-1925,3,Nogales,Arizona,https://tile.loc.gov/storage-services/service/ndnp/az/batch_az_horseshoebend_ver02/data/sn96060796/00414217394/1925013101/0436.pdf,-110.1875775,31.6992575
The Evening World,07-18-1922,16,New York,New York,https://tile.loc.gov/storage-services/service/ndnp/nn/batch_nn_nelson_ver01/data/sn83030193/00200294105/1922071801/1014.pdf,-73.9700088,40.7740183
Tombstone Epitaph,07-16-1922,5,Tombstone,Arizona,https://tile.loc.gov/storage-services/service/ndnp/az/batch_az_eagle_ver01/data/sn95060905/0021110658A/1922071601/0789.pdf,-110.0798,31.7234037
Daily Independent,05-21-1910,2,Elko,Nevada,https://tile.loc.gov/storage-services/service/ndnp/nvln/batch_nvln_national_ver01/data/sn84020355/00279554747/1910052101/0478.pdf,-115.7375674,40.8557542
The North Platte Semi-Weekly Tribune,03-27-1917,3,North Platte,Nebraska,https://tile.loc.gov/storage-services/service/ndnp/nbu/batch_nbu_irons_ver01/data/2010270504/00237284756/1917032701/0574.pdf,-100.7641375,41.12637
"Every Evening, Wilmington Daily Commercial",07-11-1921,12,Wilmington,Delaware,https://tile.loc.gov/storage-services/service/ndnp/deu/batch_deu_ironman_ver02/data/sn87062237/0038334282A/1921071101/0013.pdf,-75.5829806,39.6834461
The Sun,10-29-1901,4,Wilmington,Delaware,https://tile.loc.gov/storage-services/service/ndnp/deu/batch_deu_horcrux_ver01/data/sn88053087/00271741625/1901102901/1104.pdf,-75.5829806,39.6834461
